cat,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
13472528,8634.50000012,6102,18.5245929749,229,613,384,315.080259424,10.8170466621,10882242,315.0,296,823,527,437.664601309,16.5814798151,15116060,437.0,441,1153,712,606.452400255,34.2603539478,20945653,605.0,271,1146,875,502.878684348,31.0062868212,17368424,502.0,-0.0770676657557,0.371229708195,0.44829737395,0.0934901715876,0.0133185670853,3228.96354629,0.0929368,796,2545,1749,1255.62354508,50.6114564539,43366726,1254.0,-0.224243164062,3.65985107422,3.88409423828,0.12346876828,0.228571159778,4264.36431885,0.00149536
13353229,162.5,153,3.38578842669,276,342,66,314.335384615,9.75049396412,204318,315.0,391,509,118,458.969230769,17.7515929779,298330,460.0,613,873,260,752.249230769,36.708448506,488962,754.0,490,713,223,615.830769231,30.9601576376,400290,617.0,0.0590778104961,0.154668569565,0.0955907590687,0.0997277781482,0.0153237694963,64.8230557963,0.0992521,1161,1562,401,1389.13538462,57.0688664436,902938,1392.0,-0.0437622070312,3.57647705078,3.62023925781,0.2461329064,0.625362463467,159.98638916,0.000457764
13332517,1528.24999997,950,6.85522117089,268,384,116,313.563225912,7.20342872793,1916812,313.0,363,551,188,428.718468837,11.6779994997,2620756,428.0,487,781,294,579.680844103,21.9283305599,3543589,578.0,388,686,298,486.957467692,20.4361847686,2976771,484.0,0.0188370179385,0.145593866706,0.126756848767,0.0869978519774,0.0108013339208,531.817869138,0.0871694,1024,1621,597,1229.23916244,35.3733108152,7514339,1227.0,-0.184417724609,0.988098144531,1.17251586914,0.0850614063794,0.144921036526,519.980377197,0.0
13324487,45.2500000005,43,1.80324290374,271,389,118,339.541436464,27.3846086572,61457,348.0,289,454,165,346.187845304,27.536576706,62660,341.0,219,611,392,305.143646409,85.0403955098,55231,269.0,170,480,310,255.690607735,58.8760601966,46280,234.0,-0.0173160172999,0.311258286238,0.328574303538,0.082668322801,0.0587731238094,14.962966427,0.0747664,764,1277,513,941.419889503,86.2370524639,170397,926.0,-0.0264282226562,0.763732910156,0.790161132812,0.194324640938,0.153547658314,35.1727600098,0.239655
13303125,49.75,53,2.11969997674,207,284,77,241.844221106,15.7368707109,48127,244.0,257,385,128,325.894472362,31.3510504035,64853,336.0,419,961,542,720.170854271,123.766236759,143314,770.0,186,394,208,299.472361809,48.1121803647,59595,313.0,0.269794732332,0.533502995968,0.263708263636,0.410478907165,0.0445909800319,81.6853025258,0.410468,650,1055,405,867.211055276,94.2982314823,172575,893.0,-0.0828552246094,1.16580200195,1.24865722656,0.183355283498,0.230403327133,36.487701416,0.0714111
13444720,9995.74999959,6345,17.9027192706,215,829,614,316.321861791,10.8660390257,12647497,316.0,273,1211,938,447.662631618,15.7686629905,17898895,447.0,370,1502,1132,644.346422229,35.9316104135,25762903,638.0,244,1518,1274,548.217292349,31.3211068465,21919372,544.0,-0.0636195167899,0.246913582087,0.310533098876,0.0806234797316,0.0130429052572,3223.56859011,0.079932,732,3558,2826,1312.20178576,47.6446797282,52465764,1311.0,-0.303161621094,2.48205566406,2.78521728516,0.133473079666,0.267793998574,5336.65414429,0.0
13298606,10.7499999998,20,1.72076209777,295,392,97,351.465116279,21.959104524,15113,354.0,333,467,134,398.465116279,28.7000112124,17134,396.0,245,498,253,318.813953488,48.70234979,13709,315.0,220,467,247,310.627906977,46.4302543987,13357,304.0,-0.0692771077156,0.137254908681,0.206532016397,0.0129523187074,0.040415863379,0.55694970442,0.0148048,862,1319,457,1060.55813953,88.1830290917,45604,1053.0,0.207763671875,1.50344848633,1.29568481445,0.657363536746,0.259271716486,28.2666320801,0.619934
13282497,1660.74999994,1208,8.36199438761,273,478,205,377.914496462,18.1143582971,2510486,378.0,352,740,388,566.421345778,32.8912413541,3762737,567.0,567,1142,575,921.703146169,58.9893284478,6122874,927.0,372,954,582,719.125545687,47.913174921,4777151,723.0,0.00421940907836,0.253429591656,0.249210182577,0.123509157588,0.0197298884831,820.471333858,0.122242,997,2172,1175,1663.46138793,96.0163463663,11050374,1669.0,-0.176605224609,2.61770629883,2.79431152344,0.119671708038,0.262668790526,794.979156494,0.0
13267997,217.000000003,160,3.06397476222,211,292,81,249.32718894,9.42586146982,216416,250.0,257,422,165,347.766129032,18.6945963075,301861,350.0,835,1180,345,1035.39861751,42.1125067396,898726,1039.0,194,427,233,293.0,23.7912871788,254324,292.0,0.453964203596,0.645865857601,0.191901654005,0.559260508775,0.0236181052931,485.438121617,0.560797,662,1141,479,890.093317972,47.6204202564,772601,891.5,-0.135314941406,4.66543579102,4.80075073242,0.790952726443,1.46326908438,686.546966553,0.14183
13260965,17.2500000005,20,1.35840888633,294,473,179,371.028985507,40.5198004968,25601,371.0,358,620,262,427.753623188,57.4469902586,29515,415.0,230,581,351,358.260869565,86.4626336606,24720,329.0,246,613,367,352.492753623,83.3217307613,24322,336.0,-0.133226320148,0.140722289681,0.273948609829,0.00570857535838,0.0719570135517,0.393891699729,-0.00423131,990,1698,708,1151.27536232,165.247980896,79438,1109.0,0.051513671875,6.78356933594,6.73205566406,1.27715799083,1.86079050778,88.1239013672,0.712463
