cat,Class_num,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
16722737,12,8.0,27,2.69286039271,186,278,92,226875,25.1827694069,7260,229.5,225,400,175,300.71875,45.4417445576,9623,300.5,463,703,240,562.71875,63.0724951816,18007,556.0,218,498,280,333.75,78.6062179474,10680,335.5,0.163701072335,0.374316930771,0.210615858436,0.264455392491,0.0634805411796,8.46257255971,0.248818,629,1176,547,861.34375,148.307031478,27563,868.5,1.09527587891,1.9794921875,0.884216308594,1.34329509735,0.259891265448,42.9854431152,1.25325
16741136,51,4726.74999998,3096,12.7032458603,189,322,133,251.723858888,13.7914317433,4759343,252.0,222,460,238,341.822235151,25.0524636295,6462833,341.0,502,1154,652,837.44930449,73.1119387717,15833654,840.0,148,548,400,335.303432591,44.0597510216,6339582,334.0,0.271276593208,0.63983052969,0.368553936481,0.428891291466,0.0503561764648,8109.04764774,0.428821,559,1317,758,928.84952663,80.5022437574,17561758,927.0,-0.343780517578,2.908203125,3.25198364258,0.089984175731,0.255176889267,1701.33081055,0.0
16692079,11,8.25,14,1.37497920306,308,425,117,382.454545455,31.7223665565,12621,381.0,424,571,147,518.181818182,40.0132209556,17100,528.0,590,750,160,661.151515152,43.8379392986,21818,660.0,436,601,165,547.151515152,42.335686796,18056,553.0,0.0457831323147,0.176581680775,0.13079854846,0.0947320930886,0.0315638608748,3.12615907192,0.0950226,1180,1578,398,1447.78787879,107.861796415,47777,1487.0,-0.0844116210938,0.321228027344,0.405639648438,0.225408380682,0.0917382072665,7.4384765625,0.252228
16691240,33,1201.74999999,638,5.19168914907,222,290,68,242.233825671,5.68446325684,1164418,242.0,275,408,133,308.006656959,11.3291230884,1480588,307.0,470,767,297,578.851674641,27.7111810959,2782540,574.0,219,425,206,322.717495319,18.3316212474,1551303,322.0,0.199602782726,0.421520233154,0.221917450428,0.284127422314,0.0255815698843,1365.80051906,0.282424,717,1123,406,872.957977949,32.6608659382,4196309,871.0,-0.273986816406,2.09750366211,2.37149047852,0.684763753441,0.40680673009,3291.65936279,0.714569
16662186,34,6.5,22,2.43422697343,241,296,55,266.884615385,12.3267280676,6939,265.0,333,418,85,376.615384615,18.7679696928,9792,374.0,788,976,188,859.884615385,48.2384517253,22357,842.5,309,441,132,378.192307692,31.0359831248,9833,380.5,0.340983599424,0.452127665281,0.111144065857,0.389474867628,0.0283666680267,10.1263465583,0.385577,883,1155,272,1021.69230769,61.122681948,26564,1018.0,0.223297119141,0.533935546875,0.310638427734,0.381958007812,0.0868071233677,9.93090820312,0.406479
16679577,33,1653.24999999,819,5.68211087771,204,289,85,233.107969152,6.98269566253,1541543,232.0,237,381,144,295.940420384,13.5705031305,1957054,294.0,536,846,310,647.122788447,40.3472607626,4279423,642.0,163,388,225,262.191441101,18.5460614231,1733872,260.0,0.314866125584,0.557065188885,0.242199063301,0.423183354234,0.0256052588457,2798.51152155,0.422908,614,1056,442,791.239830637,37.7999214081,5232469,786.0,-0.0722961425781,2.13735961914,2.20965576172,0.633429912185,0.382958346255,4188.87200928,0.576538
16647578,34,291.249999998,128,2.11578761505,191,400,209,247.968240343,13.3512412788,288883,247.0,234,548,314,328.943347639,18.7644138805,383219,330.0,741,1332,591,963.17167382,60.8153870384,1122095,968.0,135,642,507,289.788841202,32.1674008595,337604,290.0,0.349544078112,0.691780805588,0.342236727476,0.537560406187,0.0408656279333,626.257873207,0.541762,560,1590,1030,866.700429185,61.5348636293,1009706,866.0,-0.193786621094,1.07962036133,1.27340698242,0.168324063674,0.280617884972,196.09753418,0.0
16620545,12,7.5,18,1.85411616971,204,297,93,229.0,19.2388495845,6870,225.5,240,407,167,282.333333333,40.2006080662,8470,272.0,319,525,206,375.2,47.6426979365,11256,359.5,157,428,271,220.433333333,61.7142249044,6613,203.5,0.101783841848,0.362763911486,0.260980069637,0.270894002418,0.0664419678326,8.12682007253,0.263987,612,1132,520,731.766666667,120.190871349,21953,699.5,5.91793823242,6.17297363281,0.255035400391,6.04638061523,0.0605242401801,181.391418457,6.0421
16669823,22,6610.24999997,2816,9.77054470181,224,331,107,283.254188571,14.6365943073,7489524,284.0,291,481,190,400.434325479,27.2621851474,10587884,402.0,555,839,284,708.721644416,34.1437755592,18739309,709.0,287,598,311,476.450512462,40.3714605577,12597828,479.0,0.130217030644,0.33923304081,0.209016010165,0.197063631513,0.0258509794141,5210.55948085,0.191275,802,1399,597,1160.13902651,79.5812246859,30675236,1165.0,-0.152374267578,1.22210693359,1.37448120117,0.0979724481658,0.142377048987,2590.48950195,0.0292969
16614779,11,40.9999999986,37,1.63006477913,263,407,144,354.006097561,30.3255701797,58057,365.5,419,630,211,516.536585366,40.8800133412,84712,512.0,456,724,268,575.213414634,61.5517594252,94335,568.5,399,698,299,524.006097561,55.4891218686,85937,537.0,-0.0365510769188,0.141981616616,0.178532693535,0.0464422530885,0.0451200024982,7.61652950651,0.043005,1105,1725,620,1394.54878049,116.4963783,228706,1412.0,-0.0765991210938,0.712158203125,0.788757324219,0.136782390315,0.161596869176,22.4323120117,0.0437012
